,Activity
4525,3
1446,3
5995,1
4222,4
6754,3
5195,1
1888,2
101,1
5418,3
3799,5
5356,6
2641,1
2534,2
132,3
5487,5
3529,1
6140,6
6218,2
1858,1
1600,2
2280,6
4870,3
1002,5
61,6
6025,3
2726,5
625,1
1420,1
6385,1
263,1
1575,1
2598,6
6175,1
6623,2
4483,1
1649,4
1061,6
1330,5
408,6
2069,5
6355,6
319,2
3749,1
2131,6
3439,5
6209,3
3257,5
5902,5
3509,6
95,1
2899,5
7064,6
1153,2
6891,6
2268,4
1047,4
308,2
6395,1
1188,4
4280,6
1718,3
1728,3
2389,5
3001,3
7157,2
6509,4
4207,5
7314,3
828,2
2874,5
4554,5
3548,1
3905,1
3260,5
5106,4
6923,3
6816,5
3480,4
554,4
2707,5
6144,6
2825,1
1263,1
5518,4
3478,4
5549,4
2348,3
6696,6
7212,4
6468,5
5335,4
5751,6
3039,2
3960,2
2543,5
7171,5
3728,1
7227,4
7290,1
6679,4
4477,1
3563,3
6854,4
5815,3
3012,3
6220,2
37,4
3018,3
2991,1
5890,5
5557,6
6662,4
3396,3
6299,4
3352,1
5990,1
1176,5
5624,3
2569,5
1671,6
6130,6
1511,4
1317,5
1452,2
6463,5
2812,1
6475,5
3100,4
4434,4
2306,1
2907,4
177,5
3718,6
7217,4
2576,4
79,1
3573,2
2107,4
1703,1
2619,6
2031,3
927,1
4269,6
2548,5
1533,6
2932,4
1074,6
2840,3
4556,5
4630,6
6193,1
877,4
1793,4
7104,3
4323,1
683,2
1805,4
5398,1
1765,5
965,3
6808,5
4236,4
2684,2
1005,5
2094,4
737,4
7034,6
2486,1
251,1
2683,2
6244,5
3418,3
576,4
1565,1
465,3
4624,6
2986,1
4643,1
1554,1
2291,6
3317,6
1593,3
5075,5
4663,3
429,6
6837,4
6478,5
5925,4
6800,5
3428,5
1894,2
6827,5
3534,1
6449,2
2549,5
6786,2
4168,2
4901,5
4393,5
3053,5
2742,4
538,5
4906,5
5749,6
2337,3
7088,1
2022,3
230,4
4600,6
185,5
5006,1
4634,1
1760,5
3881,6
1480,5
4529,2
5100,5
3914,1
2317,1
6005,3
1817,6
87,1
4216,5
3463,4
544,5
2650,1
3869,6
3706,6
5561,6
1034,4
1499,5
7136,2
7009,4
6594,3
3176,1
6188,1
5718,4
3105,4
6987,5
2648,1
6933,3
3481,4
5982,1
4961,6
1297,2
1871,3
1747,2
4712,5
3187,1
642,3
4708,5
393,4
1615,2
169,2
4985,1
4270,6
1832,6
7225,4
3386,3
5493,5
2531,2
4239,4
7191,5
69,6
1467,2
1543,6
6913,1
1487,5
1912,5
2807,1
1915,5
5228,3
468,3
6304,4
5594,1
6761,3
811,3
1163,5
1373,6
5733,4
19,5
3135,6
3903,1
5189,1
2821,1
239,6
3166,1
3800,5
6267,5
4002,5
5074,5
1965,6
1488,5
4166,3
2699,2
6399,3
4316,1
5163,6
1869,3
332,3
736,4
1656,4
1562,1
3698,6
6467,5
1370,6
3971,5
932,1
1128,3
6161,6
6941,3
3794,5
5230,3
3422,2
1295,2
3268,5
1979,6
6276,5
6251,5
856,5
2142,1
2934,4
4965,6
3817,5
2024,3
2627,6
1550,1
503,2
3540,1
1934,4
6462,5
4775,6
1025,4
3608,5
4694,5
6358,6
2691,2
1426,3
4615,6
1669,6
2199,2
472,3
4446,6
6820,5
3143,6
3527,6
3016,3
3996,5
6586,3
7039,6
1056,6
2303,1
3494,6
7063,6
1789,4
5985,1
1057,6
2345,3
50,4
5636,3
245,6
6624,2
1438,3
6339,6
2182,3
3538,1
3667,4
5776,6
3240,5
4851,3
1277,3
6037,2
5454,2
5484,5
3169,1
7097,1
321,2
5128,4
4004,5
5523,4
5659,2
4863,3
2746,4
3550,1
1563,1
7238,6
5721,4
3164,6
3617,5
2984,1
6116,4
5822,3
3245,5
233,4
65,6
3841,4
5030,3
5174,1
2132,6
3703,6
381,4
5714,4
1811,4
2036,2
6942,3
217,6
3003,3
1670,6
4563,5
5347,6
4656,3
7127,2
4030,4
6121,4
4727,4
2862,2
509,2
4575,4
1803,4
6069,5
3861,6
4333,3
4032,4
1149,2
457,1
4387,5
4751,4
3470,4
5330,4
5200,1
5231,3
2688,2
6454,5
1425,3
2276,6
6577,1
2095,4
5272,5
4750,4
2952,6
2149,1
7299,3
3279,5
786,1
3296,4
4733,4
5793,1
3871,6
4657,3
5899,5
1407,1
4857,2
5040,2
3575,2
5944,6
7245,6
5712,4
2519,2
6344,6
48,4
743,6
711,5
318,2
2398,5
176,5
3425,2
7140,2
1221,6
2882,5
2338,3
2764,6
6793,2
6836,4
1928,4
5227,3
91,1
4172,2
1046,4
2310,1
5324,4
4119,1
435,1
6064,5
3916,1
3980,5
4622,6
7042,6
7223,4
2215,2
2939,6
5359,6
5973,6
1921,5
106,1
5736,4
496,2
4428,4
5273,5
2890,5
866,5
222,6
3545,1
1412,1
789,1
4590,4
5394,1
4818,1
1287,3
2138,1
6557,1
3412,3
41,4
3758,3
4267,6
3043,2
167,2
2446,6
2605,6
1097,1
3350,1
2272,4
3901,6
2091,4
3827,4
5302,5
6822,5
2903,5
6591,3
1078,1
3844,4
4266,6
6843,4
5419,3
5058,2
6763,3
2842,3
4618,6
3929,3
511,2
3524,6
1720,3
6571,1
6599,3
4436,6
6271,5
1321,5
4017,4
7077,1
3889,6
7145,2
3381,3
4705,5
3801,5
2827,3
1281,3
6670,4
1966,6
6176,1
3583,2
4010,4
5901,5
5213,3
2333,3
4374,5
4369,2
1175,5
179,5
1451,2
3668,4
4085,6
1055,6
31,4
5202,1
2510,3
168,2
6753,3
5820,3
6859,4
6115,4
1041,4
3089,5
1662,4
1945,4
1498,5
1595,3
6579,1
6307,4
6166,1
3937,3
6935,3
6431,3
7125,2
7051,6
6247,5
6775,2
3221,2
733,4
6767,3
1429,3
676,2
6865,6
500,2
437,1
2850,2
4927,4
1870,3
4717,5
80,1
1539,6
4471,6
5328,4
5239,2
3612,5
2488,1
4381,5
7025,4
4609,6
4995,1
6402,3
1302,2
994,5
2221,5
534,5
6997,4
5385,1
585,6
5404,1
5798,1
7269,1
3552,1
2805,1
5761,6
5283,5
5660,2
1197,4
6018,3
2418,4
2515,3
7150,3
6735,1
1375,6
742,6
5948,6
6749,1
4084,6
3006,3
2925,4
3148,6
3355,1
1922,5
401,4
4512,2
157,2
4838,2
1419,1
4334,3
3295,4
3842,4
6692,6
1142,2
5326,4
5322,4
1706,1
4274,6
573,4
6049,2
7117,3
6947,2
5492,5
535,5
5247,2
7092,1
1864,1
1421,1
4586,4
2020,3
3664,4
7124,2
858,5
5792,1
6312,4
473,3
6956,2
1569,1
4990,1
2533,2
4086,6
2088,4
469,3
5331,4
5456,2
4928,4
4993,1
247,6
1328,5
2206,2
1617,2
3305,4
800,3
748,6
5744,6
2715,5
3322,6
228,4
2471,1
4700,5
17,5
1430,3
2124,6
6165,6
6322,4
2968,6
5556,4
865,5
1616,2
2833,3
3213,2
1737,2
6815,5
2375,2
5921,4
1174,5
4912,5
543,5
6199,3
3855,4
5863,2
6828,5
1559,1
6522,6
763,6
1882,3
2492,1
96,1
6194,1
6074,5
4812,1
5193,1
5304,5
156,2
4394,5
7062,6
7333,2
3782,3
3950,2
2210,2
1242,1
696,5
425,6
2846,3
712,5
1886,2
1507,4
4739,4
5261,2
447,1
6488,4
3165,1
4979,6
592,6
5591,1
1844,1
3518,6
131,3
997,5
6982,5
3132,6
6243,5
624,1
3032,2
982,2
3128,4
1024,4
5045,2
1883,3
756,6
2855,2
1566,1
1103,1
2462,6
93,1
3939,3
4668,3
3570,3
970,2
6008,3
3265,5
6001,1
2589,4
5229,3
1084,1
764,6
6353,6
476,3
6054,5
5345,6
4442,6
2283,6
4591,4
5548,4
6259,5
2922,4
4209,5
4559,5
6268,5
752,6
6382,1
7080,1
3464,4
351,5
487,3
957,3
2858,2
7177,5
3254,5
5844,2
3589,2
1038,4
3893,6
561,4
2963,6
1729,3
4127,1
6901,1
334,3
2249,5
3852,4
3123,4
2399,5
6277,5
2133,6
23,5
1586,3
7262,1
4730,4
3151,6
4190,5
5502,5
7188,5
4320,1
2802,1
2197,2
445,1
5841,2
4800,1
2646,1
4710,5
4917,4
6428,3
4856,2
2114,6
4174,2
2847,2
4279,6
1730,3
3513,6
4607,6
7224,4
1022,4
842,2
2063,5
5332,4
6681,4
1926,4
5059,2
4942,4
1483,5
1075,6
1964,6
4350,2
5928,4
2118,6
1009,5
5162,6
378,4
7304,3
4953,6
6192,1
199,5
1893,2
1768,5
1042,4
6651,5
6022,3
2168,3
6155,6
6654,5
5572,6
996,5
1410,1
5981,1
5013,3
7228,4
4466,6
3571,3
7165,2
2592,4
601,6
3101,4
5559,6
6094,5
6436,2
6078,5
6877,6
5787,1
2815,1
2748,4
4367,2
6632,5
2892,5
2155,1
3966,5
1880,3
1144,2
4824,1
1726,3
1087,1
3035,2
5763,6
1322,5
5080,5
3460,5
547,5
4771,6
6781,2
5199,1
5543,4
4011,4
2432,4
5933,4
6844,4
5568,6
4650,1
5274,5
1758,5
5566,6
6350,6
6248,5
3393,2
6415,2
960,3
3246,5
2127,6
2441,6
518,2
611,1
2098,4
5521,4
3358,1
4567,4
4152,2
5677,5
6101,4
491,2
4834,3
1545,6
323,2
3024,2
4271,6
1672,6
5499,5
5558,6
1168,5
1807,4
7342,2
1436,3
1775,5
3786,2
324,2
4898,5
7345,2
3377,1
586,6
4161,3
5804,1
4595,4
706,5
2628,6
5696,5
5035,3
1181,5
1558,1
2751,4
4348,2
7046,6
1701,1
3383,3
208,4
3739,1
747,6
4354,2
3269,5
798,3
88,1
734,4
5306,5
2937,4
2018,3
6953,2
2992,1
6092,5
852,5
486,3
2716,5
1606,2
4900,5
4071,6
1918,5
6563,1
6838,4
3133,6
198,5
2183,3
7108,3
3450,5
73,6
548,5
2157,1
4439,6
6356,6
1536,6
3975,5
5416,1
4110,1
3077,5
1406,1
3411,2
3163,6
2629,6
2796,6
4943,4
6707,6
937,1
4231,4
5992,1
7119,3
4500,3
6352,6
4372,2
3809,5
6289,4
2995,1
620,1
6917,1
3484,4
3491,4
478,3
1352,4
1400,1
6552,6
3837,4
1320,5
4139,3
1033,4
6093,5
286,1
550,5
4352,2
3614,5
5055,2
5329,4
4230,4
4421,4
1335,5
3680,4
1702,1
1652,4
1193,4
5962,6
7089,1
4921,4
7199,5
1740,2
1172,5
