,Activity
57,6
4154,2
6945,2
527,5
4196,5
5987,1
565,4
4397,5
7351,2
640,3
6298,4
6757,3
730,4
4617,6
7005,4
2948,6
325,2
5354,6
290,1
5658,2
2344,3
2476,1
5682,5
4852,3
2943,6
3932,3
6200,3
6685,6
5500,5
2266,4
864,5
2921,4
6223,2
1544,6
5476,5
2465,6
4322,1
371,5
2264,4
2954,6
2002,1
6447,2
5799,1
3011,3
4526,3
5339,6
5653,2
7195,5
2876,5
911,6
6661,4
6048,2
5412,1
3482,4
2115,6
4091,6
5688,5
2287,6
1423,1
122,1
479,3
4001,5
4640,1
293,1
1694,1
5994,1
940,1
4235,4
6099,4
439,1
1379,6
847,5
3002,3
2644,1
6045,2
1443,3
4706,5
1477,5
1173,5
6359,6
5027,3
2404,5
5850,3
4837,2
2795,6
6919,1
279,1
6482,5
4999,1
2664,3
4817,1
7076,1
6351,6
4237,4
4938,4
6580,3
1101,1
3023,2
1632,5
2166,1
4128,3
5769,6
2829,3
577,4
59,6
6674,4
787,1
4141,3
5501,5
1941,4
4353,2
5103,4
4357,2
5835,2
1345,4
6110,4
1183,4
5245,2
6747,1
3622,5
2977,1
6469,5
6084,5
6237,2
184,5
1872,3
1839,6
3346,6
420,6
5133,4
553,4
1397,1
6574,1
3382,3
6622,2
5461,2
1782,5
443,1
5432,3
1741,2
4527,2
4149,2
693,5
1862,1
1790,4
2955,6
181,5
4934,4
794,1
5912,4
2669,3
4899,5
3765,2
2208,2
5018,3
3263,5
3688,6
2392,5
5489,5
530,5
5689,5
5888,5
710,5
3781,3
1665,4
558,4
6189,1
5503,5
1371,6
6129,6
6922,3
907,6
5050,2
1433,3
1978,6
6234,2
7006,4
5957,6
5464,2
6778,2
3142,6
4125,1
926,1
6047,2
1919,5
4535,5
15,5
6650,5
315,2
2666,3
6826,5
1161,5
2288,6
4475,1
5007,1
7303,3
1362,4
2034,2
1212,6
3717,6
2521,2
4625,6
5707,5
6109,4
5344,6
1170,5
3395,2
3328,6
2312,1
4536,5
2859,2
5520,4
1323,5
5436,3
5310,4
4384,5
2755,4
3320,6
5823,3
7010,4
387,4
4684,2
1032,4
6633,5
6446,2
6131,6
6433,2
6918,1
3126,4
6888,6
1010,5
6343,6
931,1
5643,3
691,5
533,5
2651,1
6412,2
4087,6
652,3
33,4
2119,6
44,4
4709,5
2523,2
964,3
5935,4
5259,2
6481,5
2470,1
5758,6
4552,5
3408,2
4046,4
1683,6
5474,2
2526,2
3150,6
26,5
4383,5
63,6
1044,4
4332,3
3458,5
4335,3
1454,2
227,4
2578,4
3370,1
4755,4
4593,4
3487,4
1203,4
4515,2
969,2
4813,1
2112,6
2439,4
4401,5
2487,1
5400,1
5206,3
5242,2
3505,6
2298,6
6364,6
3360,1
5728,4
1891,2
2417,4
252,1
4660,3
5444,3
1578,3
6851,4
5563,6
3613,5
3082,5
6091,5
4631,6
5026,3
2173,3
5410,1
4398,5
6266,5
5552,4
641,3
5019,3
6362,6
2941,6
4508,2
297,3
303,2
2579,4
3757,3
5366,6
5983,1
2225,5
3125,4
655,3
7170,5
4897,5
4991,1
4763,4
6127,4
240,6
783,1
1354,4
1018,5
4764,4
977,2
809,3
6524,6
5842,2
257,1
1599,2
893,4
5380,1
1744,2
7189,5
3806,5
7260,6
5628,3
5952,6
1620,2
2405,5
3922,1
6994,5
1801,4
6383,1
2328,1
3755,3
7214,4
1357,4
1835,6
6323,4
2458,6
2080,5
2706,5
3256,5
2226,5
1513,4
2689,2
2572,4
4847,3
2770,6
367,5
6593,3
3519,6
4376,5
4294,6
29,4
4291,6
3651,4
2178,3
2908,4
1092,1
7330,2
124,1
3666,4
6480,5
7231,6
4486,1
5187,1
2698,2
7154,3
1553,1
3504,6
3098,4
598,6
75,6
1339,5
1416,1
3121,4
4461,6
5862,2
6635,5
5507,5
3095,4
149,3
3282,4
1557,1
6154,6
453,1
4326,1
3044,2
415,6
2318,1
808,3
5852,3
3671,4
958,3
4290,6
1119,3
6325,4
810,3
4336,3
1129,3
834,2
5958,6
5652,2
7029,6
2189,3
1235,6
1225,6
4794,6
5527,4
4772,6
7291,1
2484,1
4553,5
4489,1
2481,1
2029,3
5154,6
4019,4
1027,4
5318,4
2406,5
1657,4
349,5
452,1
662,3
172,2
1405,1
4874,2
4450,6
4756,4
422,6
4698,5
6171,1
1220,6
881,4
3185,1
1253,1
5081,5
7030,6
2431,4
4317,1
6853,4
6053,5
102,1
3473,4
4502,3
6973,5
2615,6
3033,2
2676,3
1580,3
3933,3
5224,3
3443,5
7219,4
2229,5
5634,3
135,3
2758,4
4144,2
1310,2
6615,2
6088,5
5488,5
3954,3
2586,4
3886,6
3653,4
5771,6
1935,4
5839,2
3862,6
4638,1
807,3
1859,1
4024,4
462,1
879,4
1956,6
6795,2
7020,4
5532,4
3038,2
2881,5
799,3
354,5
2966,6
1073,6
6886,6
7065,6
144,3
380,4
1340,5
2622,6
2662,3
7283,1
4557,5
121,1
2513,3
4819,1
4105,1
4366,2
2407,5
2522,2
1360,4
418,6
4667,3
7087,1
1514,4
4382,5
6831,5
6151,6
4601,6
555,4
2582,4
7233,6
2897,5
1485,5
6341,6
1272,3
6890,6
1411,1
4996,1
6717,6
1471,2
2473,1
6703,6
5192,1
7032,6
6211,3
4284,6
3813,5
6695,6
5485,5
2580,4
6519,6
1840,6
6904,1
981,2
1732,3
6375,1
4782,6
3733,1
6486,5
1268,3
414,6
6869,6
268,1
6550,6
5606,1
6389,1
654,3
2083,5
5291,5
5371,6
3034,2
2550,5
3882,6
773,1
6643,5
589,6
3181,1
5766,6
3684,6
5132,4
3574,2
4051,4
4355,2
3641,5
6330,6
2517,2
7115,3
677,2
2996,1
4935,4
2845,3
3880,6
5537,4
6376,1
3340,6
3543,1
5824,3
6927,3
4534,5
1611,2
3948,2
6398,1
7313,3
4840,2
2245,5
5692,5
605,6
6911,1
3319,6
1468,2
5406,1
3231,2
6262,5
3076,5
3483,4
3196,3
3753,3
7285,1
2077,5
6961,2
2388,5
3000,3
3469,4
584,6
5086,5
2299,6
3693,6
5687,5
4686,2
3973,5
3437,5
3946,2
2499,3
7081,1
5168,6
344,3
4292,6
6972,5
6896,1
3333,6
5686,5
3467,4
6414,2
90,1
3197,3
4410,4
4546,5
2836,3
2117,6
3682,4
5577,6
4204,5
2571,4
947,3
2623,6
2697,2
5768,6
4248,4
4254,4
2436,4
2718,5
6740,1
5414,1
4902,5
4379,5
5246,2
5253,2
6332,6
6114,4
2781,6
5251,2
7024,4
6213,3
5923,4
3499,6
4313,1
1186,4
3601,3
7235,6
5586,6
7190,5
151,2
915,6
1305,2
3780,3
5265,2
4319,1
5669,2
1398,1
183,5
2927,4
5613,1
5861,2
471,3
967,3
209,4
1961,6
896,6
6849,4
2191,3
5455,2
1773,5
3621,5
1209,6
3787,2
4189,5
3977,5
3909,1
3298,4
4608,6
4827,1
4423,4
292,1
2540,2
6534,6
5458,2
272,1
2042,2
5889,5
2251,4
5814,1
4610,6
1086,1
4778,6
2705,5
5573,6
5255,2
4099,6
3007,3
6021,3
4945,6
2835,3
4578,4
3027,2
3407,2
613,1
3208,3
3815,5
2865,2
4098,6
4958,6
1748,2
6630,5
2227,5
2673,3
3071,5
2154,1
1344,4
7109,3
5513,4
3433,5
952,3
2316,1
1504,4
6547,6
7311,3
2614,6
1121,3
4148,2
5626,3
5426,3
3857,4
4302,6
416,6
4343,3
564,4
1224,6
142,3
1490,5
5681,5
5693,5
2004,1
1194,4
6143,6
1756,2
497,2
4568,4
7186,5
6590,3
721,4
6239,2
6900,1
1496,5
2574,4
1520,4
4687,2
3195,3
4866,3
7067,1
5922,4
108,1
1754,2
7151,3
1351,4
4147,2
6379,1
6914,1
1973,6
336,3
5164,6
3734,1
2820,1
4507,2
724,4
765,6
3277,5
4129,3
307,2
1278,3
6498,4
4614,6
5720,4
7128,2
6664,4
1791,4
3554,1
6120,4
5167,6
2053,2
2663,3
2620,6
71,6
6163,6
2464,6
4247,4
1260,1
1666,4
2618,6
3413,3
7022,4
6134,6
2167,1
7001,4
1695,1
1095,1
5525,4
4745,4
4015,4
1630,5
6870,6
1881,3
3816,5
6576,1
1612,2
978,2
3620,5
5216,3
7213,4
848,5
4581,4
2271,4
3349,1
1830,6
2354,3
47,4
3616,5
1350,4
2617,6
446,1
4025,4
1743,2
844,2
3297,4
4101,1
678,2
2887,5
4960,6
1294,2
5477,5
3252,5
7045,6
6868,6
5250,2
4391,5
1112,3
776,1
7329,2
3770,2
2228,5
2153,1
4994,1
6737,1
6701,6
1366,4
4215,5
1851,1
1963,6
4885,5
4404,4
4240,4
3288,4
485,3
2239,5
2879,5
5091,5
5632,3
30,4
1879,3
2778,6
3312,4
2885,5
4740,4
5021,3
3611,5
636,1
4664,3
3316,6
1083,1
861,5
3409,2
903,6
3114,4
109,1
7072,1
4108,1
3915,1
3994,5
6174,1
3904,1
5388,1
1831,6
7318,3
782,1
7176,5
4058,6
5001,1
2412,4
3131,6
1825,6
1094,1
5151,6
3879,6
6986,5
4463,6
2826,3
